Date Announced,Duration_Effective,Dummy_Effective,Date Effective,Duration_Unconditional,Duration_diff,Dummy_Unconditional,Date Effective/Unconditional,Target Name,Target Nation,Acquiror Name,Acquiror Nation,Status,ROCE,Tobin's Q,IDDummy,Firm Size,Tangibility
14/1/04,-38000,1,,42,-38042,1,25/2/04,CD Bramall PLC,United Kingdom,Pendragon PLC,United Kingdom,Completed,0.01526317,1.745,0,20.28429565,0.135470762
19/1/04,42,1,1/3/04,32,10,1,20/2/04,Forever Broadcasting PLC,United Kingdom,Wireless Group PLC,United Kingdom,Completed,-0.00751087,1.069,1,16.4473994,-0.016834532
23/1/04,81,1,13/4/04,52,29,1,15/3/04,Transcomm PLC,United Kingdom,BT Group PLC,United Kingdom,Completed,0.031597701,2.007,1,16.79612919,0.239593909
2/3/04,304,1,31/12/04,27,277,1,29/3/04,Online Travel Corp PLC,United Kingdom,Lastminute.com PLC,United Kingdom,Completed,-0.008773649,3.708,0,17.2654981,-0.044349206
3/3/04,-38049,1,,54,-38103,1,26/4/04,Merant PLC,United Kingdom,SERENA Software Inc,United States,Completed,0,4.749,1,18.6325611,0.209466019
11/3/04,-38057,0,,-38057,0,0,,Alvis PLC,United Kingdom,General Dynamics Corp,United States,Withdrawn,0.021159286,6.694,0,19.77471014,0.085489285
18/3/04,35,1,22/4/04,35,0,1,22/4/04,Yeoman Group PLC,United Kingdom,Trafficmaster PLC,United Kingdom,Completed,-0.039351351,11.5,0,15.2971151,0.052727273
19/3/04,627,0,6/12/05,95,532,1,22/6/04,Peterhouse Group PLC,United Kingdom,Babcock International Group,United Kingdom,Completed,0.007025511,1.194,0,19.96141146,0.0218509
26/3/04,96,1,30/6/04,63,33,1,28/5/04,Energy Africa Ltd,South Africa,Tullow Oil PLC,United Kingdom,Completed,2.143934783,2.478,1,19.51962631,5.14628124
22/4/04,69,1,30/6/04,46,23,1,7/6/04,Staffware PLC,United Kingdom,TIBCO Software Inc,United States,Completed,0.022887931,2.82,1,18.19000893,0.303236776
6/5/04,42,1,17/6/04,42,0,1,17/6/04,BW Technologies Ltd,Canada,First Technology PLC,United Kingdom,Completed,0.033986755,3.965,0,17.61548406,0.566510067
6/5/04,50,1,25/6/04,50,0,1,25/6/04,Bell Group PLC,United Kingdom,Securitas AB,Sweden,Completed,0.014428571,2.302,1,18.31532023,0.032055556
18/5/04,52,1,9/7/04,49,3,1,6/7/04,Celltech Group PLC,United Kingdom,UCB SA,Belgium,Completed,0.058747808,2.482,0,20.95620129,0.121682643
21/5/04,41,1,1/7/04,41,0,1,1/7/04,Profile Therapeutics PLC,United Kingdom,Respironics UK Holding Co Ltd,United Kingdom,Completed,-0.006549296,2.819,0,16.72786122,0.375163043
28/5/04,33,1,30/6/04,24,9,1,21/6/04,Martin Intl Hldgs PLC,United Kingdom,Crystal Martins Ltd,Hong Kong,Completed,0.00120972,0.768,1,18.24870548,0.240095012
16/6/04,62,1,17/8/04,48,14,1,3/8/04,Tibbett & Britten Group PLC,United Kingdom,Exel PLC,United Kingdom,Completed,0.002656193,9.533,1,20.65327247,-0.035070785
17/6/04,204,1,7/1/05,204,0,1,7/1/05,Heiton Group PLC,Ireland-Rep,Grafton Group PLC,Ireland-Rep,Completed,0.026819271,1.457,1,19.94106884,0.299405334
13/7/04,129,1,19/11/04,44,85,1,26/8/04,Diagonal PLC,United Kingdom,Morse PLC,United Kingdom,Completed,0.012641148,1.175,1,18.21119352,0.217262639
13/8/04,73,1,25/10/04,26,47,1,8/9/04,AFA Systems PLC,United Kingdom,Microgen PLC,United Kingdom,Completed,-0.017390071,1.04,1,17.10763684,-0.095427509
25/8/04,22,1,16/9/04,21,1,1,15/9/04,Spring Grove Property,United Kingdom,Park Street Holdings Ltd,United Kingdom,Completed,0.005710227,1.415,0,16.46875252,0.185070423
27/9/04,155,1,1/3/05,155,0,1,1/3/05,RMC Group PLC,United Kingdom,CEMEX UK Ltd,United Kingdom,Completed,0.026017246,1.137,1,22.34433583,0.224789957
29/9/04,219,1,6/5/05,219,0,1,6/5/05,GWR Group PLC,United Kingdom,Capital Radio PLC,United Kingdom,Completed,0.058358333,465.8,1,19.51025229,-0.109986546
21/10/04,168,1,7/4/05,159,9,1,29/3/05,Kidde PLC,United Kingdom,United Technologies Corp,United States,Completed,0.028564578,15.719,0,20.91899708,-0.050649564
28/10/04,285,1,9/8/05,265,20,1,20/7/05,Shell Transport & Trading Co,United Kingdom,Royal Dutch Petroleum Co,Netherlands,Completed,0.302369429,0.864,0,25.94117814,0.230892486
28/10/04,-38288,0,,-38288,0,0,,WMC Resources Ltd,Australia,Xstrata PLC,Switzerland,Withdrawn,0.211556438,1.561,1,22.45661906,0.458265602
3/12/04,34,1,6/1/05,34,0,1,6/1/05,Burtonwood PLC,United Kingdom,Wolverhampton & Dudley,United Kingdom,Completed,0.042495035,0.879,0,19.41836711,0.33914823
16/12/04,81,1,7/3/05,81,0,1,7/3/05,ITNET PLC,United Kingdom,Serco Group PLC,United Kingdom,Completed,0.018486667,7.104,0,18.96590779,0.089327536
16/2/05,77,1,4/5/05,77,0,1,4/5/05,Merrydown PLC,United Kingdom,SHS Group Ltd,United Kingdom,Completed,0.0712,2.231,0,17.34187108,0.219470588
11/3/05,66,1,16/5/05,34,32,1,14/4/05,Sira Business Services PLC,United Kingdom,Securiplan PLC,United Kingdom,Completed,0.00073355,1.462,1,15.85673089,0.124285714
11/4/05,65,1,15/6/05,39,26,1,20/5/05,Jennings Brothers PLC,United Kingdom,Wolverhampton & Dudley,United Kingdom,Completed,0.1259875,1.153,1,18.4798926,0.261630537
19/4/05,52,1,10/6/05,31,21,1,20/5/05,Wellington Holdings PLC,United Kingdom,Fenner PLC,United Kingdom,Completed,0.021568142,3.955,0,17.50439001,0.2044
28/4/05,92,1,29/7/05,41,51,1,8/6/05,iTouch PLC,United Kingdom,For-side.com Co Ltd,Japan,Completed,0.042368564,3.066,0,18.63417792,0.119773829
9/5/05,57,1,5/7/05,57,0,1,5/7/05,Wireless Group PLC,United Kingdom,Ulster Television,United Kingdom,Completed,0.031090361,5.353,1,18.11957565,-0.132797297
24/5/05,-38496,1,,51,-38547,1,14/7/05,Merchant Retail Group PLC,United Kingdom,A.S. Watson & Co Ltd,Hong Kong,Completed,0.029028118,2.431,0,19.02171264,0.38966557
10/6/05,53,1,2/8/05,53,0,1,2/8/05,XN Checkout Holdings PLC,United Kingdom,Torex Retail PLC,United Kingdom,Completed,0.021481481,8.358,0,17.01418368,0.260979592
20/6/05,72,1,31/8/05,72,0,1,31/8/05,Napier Brown Foods PLC,United Kingdom,Real Good Food Co PLC,United Kingdom,Completed,0.049434389,1.506,1,19.15496987,-0.099112284
30/6/05,55,1,24/8/05,55,0,1,24/8/05,Anker PLC,United Kingdom,Torex Retail PLC,United Kingdom,Completed,0.014941315,1.173,1,19.45137102,-0.096592936
22/7/05,252,1,31/3/06,133,119,1,2/12/05,BPB PLC,United Kingdom,Cie de Saint-Gobain SA,France,Completed,0.061046812,2.894,1,22.1906562,0.153392194
2/8/05,113,1,23/11/05,113,0,1,23/11/05,Domnick Hunter Group PLC,United Kingdom,Parker Hannifin Corp,United States,Completed,0.019864274,3.568,0,19.04715379,0.176055585
18/8/05,144,1,9/1/06,77,67,1,3/11/05,INCAT International PLC,United Kingdom,Tata Technologies Inc,United States,Completed,0.010943739,5.56,1,17.22665827,0.238448845
21/9/05,36,1,27/10/05,26,10,1,17/10/05,BioFocus PLC,United Kingdom,Galapagos NV,Belgium,Completed,0.032037879,0.381,1,18.02911854,0.167071006
23/9/05,88,1,20/12/05,47,41,1,9/11/05,Protec PLC,United Kingdom,Quadnetics Group PLC,United Kingdom,Completed,0.004619718,82.488,0,17.54361073,0.080504808
20/10/05,44,1,3/12/05,29,15,1,18/11/05,Paladin Resources PLC,United Kingdom,Talisman Energy Resources Ltd,United Kingdom,Completed,6.344606061,5.597,1,20.74198945,0.14119737
31/10/05,170,1,19/4/06,84,86,1,23/1/06,O2 PLC,United Kingdom,Telefonica SA,Spain,Completed,0.239455539,1.365,1,23.9890367,0.123510036
31/10/05,228,1,16/6/06,228,0,1,16/6/06,Pilkington PLC,United Kingdom,Nippon Sheet Glass Co Ltd,Japan,Completed,0.028606849,2.368,1,22.30036649,0.125389907
10/11/05,-38666,0,,-38666,0,0,,Television Corp PLC,United Kingdom,Tinopolis PLC,United Kingdom,Withdrawn,0.043363296,1.516,1,18.24870548,0.064453682
29/11/05,100,1,9/3/06,100,0,1,9/3/06,Peninsular & Oriental Steam,United Kingdom,Thunder FZE,Utd Arab Em,Completed,0.0234632,2.748,1,22.44581813,0.143102093
7/12/05,61,1,6/2/06,56,5,1,1/2/06,Comino Group PLC,United Kingdom,Civica PLC,United Kingdom,Completed,0.021695035,4.107,1,17.64197568,0.144705882
19/12/05,127,1,25/4/06,95,32,1,24/3/06,First Technology PLC,United Kingdom,Honeywell International Inc,United States,Completed,0.027162349,0.853,0,20.1901946,-0.10463531
25/1/06,223,1,5/9/06,223,0,1,5/9/06,BOC Group PLC,United Kingdom,Linde AG,Germany,Completed,0.041398993,2.855,1,22.91627041,0.205264391
8/2/06,-38756,0,,-38756,0,0,,nCipher PLC,United Kingdom,SafeNet Inc,United States,Withdrawn,0.019412844,1.373,1,18.32527056,0.449416942
14/3/06,45,1,28/4/06,38,7,1,21/4/06,Maiden Group PLC,United Kingdom,Titan Outdoor Ltd,United Kingdom,Completed,0.062799353,18.553,1,18.60633009,-0.087433555
17/3/06,117,1,12/7/06,84,33,1,9/6/06,Body Shop International PLC,United Kingdom,L'Oreal France SASU,France,Completed,0.014104327,2.577,1,20.10336912,0.225650558
21/3/06,-38797,0,,-38797,0,0,,Visma ASA,Norway,Sage Group PLC,United Kingdom,Withdrawn,0.016278228,2.543,1,19.58912999,0.262987255
31/3/06,73,1,12/6/06,27,46,1,27/4/06,Urban Dining PLC,United Kingdom,Clapham House Group PLC,United Kingdom,Completed,0.002165971,0.925,1,17.9115204,0.090099834
4/4/06,83,1,26/6/06,51,32,1,25/5/06,Fulmar PLC,United Kingdom,Cameron CPI UK Ltd,United Kingdom,Completed,0.030163462,0.946,0,18.21488583,0.343009828
21/4/06,55,1,15/6/06,24,31,1,15/5/06,Bristol Water PLC,United Kingdom,Agbar,Spain,Completed,0.088372714,5.708,1,19.933828,0.053732658
15/5/06,99,1,22/8/06,38,61,1,22/6/06,Cambridge Antibody Tech Grp,United Kingdom,AstraZeneca PLC,United Kingdom,Completed,-0.054028169,2.312,1,19.74296978,0.454757463
17/10/06,167,1,2/4/07,167,0,1,2/4/07,Corus Group PLC,United Kingdom,Tata Steel UK Ltd,United Kingdom,Completed,0.033227961,0.967,1,23.46256274,0.245539897
16/3/07,187,1,19/9/07,187,0,1,19/9/07,SouthernEra Diamonds Inc,Canada,Mwana Africa PLC,United Kingdom,Completed,-0.027886667,1.984,1,17.4790722,0.560410256
23/4/07,56,1,18/6/07,56,0,1,18/6/07,MedImmune Inc,United States,AstraZeneca PLC,United Kingdom,Completed,0.086997636,5.618,1,21.74995239,0.456336414
6/11/07,76,1,21/1/08,76,0,1,21/1/08,Nikanor PLC,Isle of Man,Katanga Mining Ltd,Canada,Completed,-0.025065606,3.033,1,19.82849195,0.494130169
22/4/08,41,1,2/6/08,41,0,1,2/6/08,Sirtris Pharmaceuticals Inc,United States,GlaxoSmithKline PLC,United Kingdom,Completed,-0.668508772,3.535,1,18.55957274,0.894604003
18/6/08,252,1,25/2/09,252,0,1,25/2/09,Zentiva NV,Czech Republic,Sanofi-Aventis SA,France,Completed,0.029174823,5.207,1,21.3985545,-1.69808307
18/7/08,74,1,30/9/08,74,0,1,30/9/08,EAG Ltd,Ireland-Rep,EAG Inc,United States,Completed,0.048544554,0.54,0,19.00233755,0.00549469
29/10/08,70,1,7/1/09,70,0,1,7/1/09,Genelabs Technologies Inc,United States,GlaxoSmithKline PLC,United Kingdom,Completed,-0.149947368,0.782,1,17.13694297,0.871083032
1/6/09,113,1,22/9/09,44,69,1,15/7/09,Minerva Resources PLC,United Kingdom,Dwyka Resources Ltd,Australia,Completed,-0.009284314,16.279,1,16.16688582,0.437714286
